Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM,FG Blk,XP Blk,Year
Buccaneers  Buccaneers,20.4,31,631,0,16,0,38,0,0,0,0,2018
Seahawks  Seahawks,23.1,29,669,0,16,2,84,0,0,1,0,2018
49ers  49ers,26.2,36,944,1,25,3,97T,0,2,0,0,2018
Chargers  Chargers,23.3,28,653,0,19,1,40,0,0,0,0,2018
Steelers  Steelers,19.3,32,619,0,19,0,35,0,0,2,0,2018
Cardinals  Cardinals,21.4,25,536,0,12,0,36,0,0,0,0,2018
Eagles  Eagles,22.0,33,725,0,22,1,48,0,0,0,0,2018
Jets  Jets,26.9,46,1238,1,30,7,99T,1,2,1,1,2018
Giants  Giants,24.4,45,1097,0,33,4,51,0,1,0,0,2018
Saints  Saints,24.3,23,560,0,17,2,50,0,0,0,0,2018
Patriots  Patriots,27.0,28,755,1,21,2,95T,0,1,0,0,2018
Vikings  Vikings,24.5,22,540,0,17,1,46,0,0,0,0,2018
Dolphins  Dolphins,24.1,39,938,1,25,1,102T,0,0,1,0,2018
Raiders  Raiders,22.9,29,663,0,21,0,34,0,1,0,1,2018
Rams  Rams,21.4,39,834,0,23,1,40,0,0,0,0,2018
Chiefs  Chiefs,24.4,40,975,0,24,3,97,0,2,0,0,2018
Jaguars  Jaguars,20.5,26,532,0,15,2,47,0,0,0,0,2018
Colts  Colts,19.8,17,337,0,9,0,29,0,0,1,1,2018
Texans  Texans,24.4,20,487,0,13,0,36,0,1,0,0,2018
Titans  Titans,32.0,23,737,1,20,3,94T,0,0,0,0,2018
Packers  Packers,21.5,30,644,0,22,0,38,0,2,0,0,2018
Lions  Lions,24.1,20,482,0,16,1,45,0,1,0,0,2018
Broncos  Broncos,20.1,30,604,0,17,0,35,0,2,2,1,2018
Cowboys  Cowboys,21.8,13,283,0,9,0,35,0,0,0,0,2018
Browns  Browns,20.1,44,884,0,25,0,35,1,0,2,0,2018
Bengals  Bengals,24.9,43,1071,0,27,5,77,0,0,0,0,2018
Bears  Bears,19.1,23,440,0,10,0,31,0,0,0,0,2018
Panthers  Panthers,22.4,26,582,0,17,0,37,0,1,0,0,2018
Bills  Bills,21.2,38,807,0,23,1,49,0,1,0,0,2018
Ravens  Ravens,22.1,32,707,0,21,0,39,0,0,0,0,2018
Falcons  Falcons,22.2,31,689,0,18,3,53,0,0,0,0,2018
Redskins  Redskins,25.2,33,833,1,20,3,91T,0,1,0,0,2019
Buccaneers  Buccaneers,19.8,25,494,0,13,0,39,0,1,0,0,2019
Seahawks  Seahawks,19.6,22,432,0,12,0,33,0,0,2,0,2019
49ers  49ers,20.5,20,409,0,12,1,81,0,1,0,0,2019
Chargers  Chargers,20.7,35,726,0,21,1,43,0,0,0,0,2019
Steelers  Steelers,18.1,29,525,0,14,0,34,0,0,0,1,2019
Cardinals  Cardinals,21.2,36,764,0,21,0,39,0,0,0,0,2019
Eagles  Eagles,22.5,29,653,0,18,1,67,0,2,1,1,2019
Jets  Jets,21.8,37,807,0,21,1,78,0,1,0,0,2019
Giants  Giants,23.5,49,1153,0,32,3,52,1,0,0,1,2019
Saints  Saints,24.1,28,676,0,17,4,51,1,0,0,0,2019
Patriots  Patriots,22.1,26,575,0,17,0,38,0,0,0,0,2019
Vikings  Vikings,22.4,17,380,0,10,0,38,0,2,0,0,2019
Dolphins  Dolphins,22.1,36,796,1,20,2,101T,0,0,0,0,2019
Raiders  Raiders,23.2,35,811,0,19,2,72,0,1,0,0,2019
Rams  Rams,22.4,18,404,0,13,0,30,0,0,0,0,2019
Chiefs  Chiefs,25.1,37,927,1,26,1,104T,0,2,1,1,2019
Jaguars  Jaguars,24.2,26,628,0,20,1,59,0,2,1,1,2019
Colts  Colts,22.8,31,707,0,18,2,47,0,2,0,0,2019
Texans  Texans,22.0,14,308,0,10,0,31,0,0,2,0,2019
Titans  Titans,21.3,30,638,0,18,1,45,0,0,3,1,2019
