Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T,Year
Jaguars  Jaguars,26,86.7,32,82.1,0,1,2015
Colts  Colts,25,92.6,32,91.4,0,0,2015
Texans  Texans,23,85.2,32,88.9,0,0,2015
Titans  Titans,14,87.5,29,93.5,0,0,2015
Packers  Packers,24,85.7,36,100.0,0,0,2015
Lions  Lions,22,91.7,36,92.3,0,0,2015
Broncos  Broncos,30,85.7,35,97.2,0,1,2015
Cowboys  Cowboys,30,93.8,25,100.0,0,0,2015
Browns  Browns,28,87.5,22,91.7,0,1,2015
Bengals  Bengals,23,82.1,48,98.0,0,0,2015
Bears  Bears,33,84.6,28,96.6,0,0,2015
Panthers  Panthers,30,83.3,56,94.9,0,0,2015
Bills  Bills,23,85.2,34,85.0,0,0,2015
Ravens  Ravens,33,82.5,29,100.0,0,1,2015
Falcons  Falcons,25,80.6,34,100.0,0,0,2015
Redskins  Redskins,34,81.0,36,92.3,0,1,2016
Buccaneers  Buccaneers,22,71.0,32,94.1,0,0,2016
Seahawks  Seahawks,33,89.2,29,82.9,0,0,2016
49ers  49ers,18,85.7,33,97.1,0,0,2016
Chargers  Chargers,26,81.3,42,91.3,0,0,2016
Steelers  Steelers,24,85.7,37,100.0,0,0,2016
Cardinals  Cardinals,21,75.0,43,91.5,0,0,2016
Eagles  Eagles,35,85.4,30,96.8,2,0,2016
Jets  Jets,27,87.1,24,92.3,0,0,2016
Giants  Giants,21,95.5,31,88.6,0,0,2016
Saints  Saints,28,82.4,49,98.0,0,0,2016
Patriots  Patriots,27,84.4,46,93.9,0,0,2016
Vikings  Vikings,27,87.1,26,78.8,1,2,2016
Dolphins  Dolphins,16,76.2,41,97.6,1,1,2016
Raiders  Raiders,29,82.9,37,94.9,0,0,2016
Rams  Rams,19,86.4,23,100.0,0,0,2016
Chiefs  Chiefs,31,88.6,36,92.3,1,2,2016
Jaguars  Jaguars,27,79.4,29,90.6,1,0,2016
Colts  Colts,27,87.1,44,100.0,1,0,2016
Texans  Texans,35,85.4,22,88.0,0,1,2016
Titans  Titans,22,91.7,39,95.1,0,0,2016
Packers  Packers,26,86.7,44,93.6,0,0,2016
Lions  Lions,31,86.1,31,93.9,0,2,2016
Broncos  Broncos,29,85.3,32,97.0,0,0,2016
Cowboys  Cowboys,27,84.4,46,100.0,0,0,2016
Browns  Browns,21,77.8,23,92.0,0,0,2016
Bengals  Bengals,28,80.0,29,82.9,0,0,2016
Bears  Bears,18,78.3,31,96.9,0,1,2016
Panthers  Panthers,30,78.9,31,91.2,0,0,2016
Bills  Bills,19,76.0,40,88.9,0,0,2016
Ravens  Ravens,38,97.4,27,100.0,0,0,2016
Falcons  Falcons,34,91.9,56,98.2,0,0,2016
Redskins  Redskins,24,85.7,36,92.3,0,0,2017
Buccaneers  Buccaneers,25,73.5,28,90.3,0,0,2017
Seahawks  Seahawks,21,72.4,37,97.4,1,0,2017
49ers  49ers,39,95.1,28,93.3,0,0,2017
Chargers  Chargers,20,66.7,37,88.1,0,1,2017
Steelers  Steelers,35,92.1,37,94.9,1,0,2017
Cardinals  Cardinals,32,80.0,23,88.5,0,0,2017
Eagles  Eagles,29,85.3,40,90.9,0,0,2017
Jets  Jets,25,83.3,29,100.0,0,0,2017
Giants  Giants,18,72.0,20,87.0,0,0,2017
Saints  Saints,31,86.1,47,94.0,1,0,2017
Patriots  Patriots,37,92.5,45,95.7,1,0,2017
Vikings  Vikings,32,84.2,34,87.2,0,0,2017
Dolphins  Dolphins,21,91.3,26,89.7,0,0,2017
Raiders  Raiders,16,76.2,33,97.1,0,0,2017
Rams  Rams,40,93.0,48,94.1,1,0,2017
Chiefs  Chiefs,41,91.1,40,100.0,0,1,2017
Jaguars  Jaguars,30,85.7,37,90.2,0,1,2017
Colts  Colts,29,85.3,22,91.7,0,0,2017
Texans  Texans,20,80.0,32,91.4,0,0,2017
Titans  Titans,35,83.3,31,93.9,0,0,2017
Packers  Packers,15,78.9,33,94.3,0,0,2017
Lions  Lions,30,85.7,40,97.6,0,2,2017
Broncos  Broncos,24,75.0,27,100.0,0,0,2017
Cowboys  Cowboys,22,75.9,36,92.3,0,1,2017
Browns  Browns,15,75.0,25,96.2,0,0,2017
Bengals  Bengals,18,90.0,32,94.1,0,0,2017
Bears  Bears,16,72.7,26,92.9,0,2,2017
Panthers  Panthers,29,96.7,34,91.9,1,1,2017
Bills  Bills,29,87.9,29,100.0,0,0,2017
Ravens  Ravens,34,91.9,39,100.0,1,1,2017
Falcons  Falcons,34,87.2,35,100.0,0,0,2017
Redskins  Redskins,26,89.7,25,96.2,0,0,2018
Buccaneers  Buccaneers,20,74.1,40,90.9,0,0,2018
Seahawks  Seahawks,22,81.5,48,94.1,0,0,2018
49ers  49ers,33,97.1,27,93.1,1,0,2018
Chargers  Chargers,24,82.8,36,83.7,0,1,2018
Steelers  Steelers,16,69.6,44,89.8,0,0,2018
Cardinals  Cardinals,12,70.6,23,95.8,0,0,2018
Eagles  Eagles,26,83.9,33,94.3,0,0,2018
Jets  Jets,33,91.7,30,90.9,1,1,2018
Giants  Giants,32,97.0,31,96.9,0,0,2018
Saints  Saints,28,93.3,52,98.1,0,0,2018
Patriots  Patriots,27,84.4,49,98.0,1,0,2018
Vikings  Vikings,22,68.8,36,97.3,0,0,2018
Dolphins  Dolphins,18,90.0,35,97.2,1,1,2018
Raiders  Raiders,27,84.4,27,96.4,0,1,2018
Rams  Rams,34,82.9,51,96.2,0,0,2018
Chiefs  Chiefs,24,88.9,65,94.2,0,1,2018
Jaguars  Jaguars,23,88.5,22,95.7,0,1,2018
Colts  Colts,23,85.2,44,93.6,0,0,2018
Texans  Texans,37,88.1,39,95.1,0,0,2018
Titans  Titans,26,86.7,28,90.3,1,0,2018
Packers  Packers,30,81.1,34,94.4,0,0,2018
Lions  Lions,28,87.5,30,100.0,0,0,2018
Broncos  Broncos,20,80.0,35,100.0,0,0,2018
Cowboys  Cowboys,29,80.6,32,97.0,0,0,2018
Browns  Browns,19,76.0,28,82.4,0,0,2018
Bengals  Bengals,19,82.6,39,95.1,0,0,2018
Bears  Bears,23,76.7,42,93.3,0,0,2018
Panthers  Panthers,19,90.5,37,90.2,0,0,2018
Bills  Bills,22,78.6,25,96.2,0,0,2018
Ravens  Ravens,35,89.7,36,97.3,0,1,2018
Falcons  Falcons,25,96.2,41,95.3,0,0,2018
Redskins  Redskins,25,83.3,21,95.5,1,0,2019
Buccaneers  Buccaneers,27,77.1,43,89.6,0,0,2019
Seahawks  Seahawks,23,82.1,40,90.9,0,0,2019
49ers  49ers,30,76.9,49,98.0,0,0,2019
Chargers  Chargers,26,76.5,35,100.0,0,1,2019
Steelers  Steelers,29,93.5,28,100.0,0,1,2019
Cardinals  Cardinals,31,88.6,34,97.1,0,0,2019
Eagles  Eagles,22,84.6,35,94.6,0,0,2019
Jets  Jets,19,67.9,23,85.2,0,0,2019
Giants  Giants,12,70.6,35,89.7,0,0,2019
Saints  Saints,32,88.9,48,98.0,0,1,2019
Patriots  Patriots,27,79.4,39,86.7,0,0,2019
Vikings  Vikings,27,93.1,40,90.9,0,0,2019
Dolphins  Dolphins,23,76.7,29,96.7,1,0,2019
Raiders  Raiders,19,73.1,34,94.4,0,0,2019
Rams  Rams,24,72.7,42,100.0,0,0,2019
Chiefs  Chiefs,34,89.5,45,93.8,1,0,2019
Jaguars  Jaguars,33,97.1,19,95.0,0,0,2019
Colts  Colts,22,71.0,33,84.6,0,2,2019
Texans  Texans,20,80.0,40,88.9,0,0,2019
Titans  Titans,8,44.4,50,96.2,0,0,2019
Packers  Packers,22,91.7,40,97.6,0,0,2019
Lions  Lions,26,83.9,35,97.2,1,1,2019
Broncos  Broncos,29,85.3,25,96.2,0,0,2019
Cowboys  Cowboys,30,75.0,46,100.0,0,0,2019
Browns  Browns,25,86.2,30,85.7,0,0,2019
Bengals  Bengals,27,87.1,24,96.0,1,0,2019
Bears  Bears,23,82.1,27,93.1,1,0,2019
Panthers  Panthers,25,78.1,31,88.6,0,0,2019
Bills  Bills,22,78.6,30,93.8,1,0,2019
Ravens  Ravens,28,96.6,57,96.6,0,0,2019
Falcons  Falcons,32,80.0,29,93.5,0,1,2019
Football Team  Football Team,27,79.4,30,93.8,0,0,2020
Buccaneers  Buccaneers,28,90.3,52,91.2,0,0,2020
Seahawks  Seahawks,24,100.0,49,92.5,0,0,2020
49ers  49ers,22,84.6,38,95.0,0,0,2020
Chargers  Chargers,24,72.7,36,92.3,0,0,2020
Steelers  Steelers,23,95.8,41,91.1,0,0,2020
Cardinals  Cardinals,23,76.7,45,97.8,0,0,2020
Eagles  Eagles,14,73.7,24,92.3,0,1,2020
Jets  Jets,21,75.0,20,83.3,0,0,2020
Giants  Giants,31,96.9,21,91.3,0,0,2020
Saints  Saints,23,82.1,57,98.3,0,0,2020
Patriots  Patriots,26,92.9,30,90.9,0,1,2020
Vikings  Vikings,15,68.2,37,86.0,0,0,2020
Dolphins  Dolphins,36,92.3,36,100.0,0,1,2020
Raiders  Raiders,33,94.3,45,95.7,0,0,2020
Rams  Rams,24,80.0,38,90.5,0,0,2020
Chiefs  Chiefs,25,92.6,48,88.9,1,1,2020
Jaguars  Jaguars,18,72.0,24,85.7,0,1,2020
Colts  Colts,32,86.5,43,95.6,1,0,2020
Texans  Texans,27,87.1,37,92.5,0,0,2020
Titans  Titans,20,71.4,51,96.2,1,0,2020
Packers  Packers,16,100.0,59,93.7,0,0,2020
Lions  Lions,21,75.0,38,92.7,0,1,2020
Broncos  Broncos,28,80.0,25,83.3,0,1,2020
Cowboys  Cowboys,34,82.9,33,91.7,1,0,2020
Browns  Browns,19,79.2,43,89.6,0,0,2020
Bengals  Bengals,27,79.4,32,97.0,1,0,2020
Bears  Bears,30,93.8,36,97.3,1,0,2020
Panthers  Panthers,29,80.6,33,91.7,0,0,2020
Bills  Bills,28,82.4,57,96.6,0,1,2020
Ravens  Ravens,26,89.7,52,98.1,1,0,2020
Falcons  Falcons,38,95.0,34,89.5,0,0,2020
