Team,KO,Yds,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD,Year
Panthers  Panthers,66,4042,4,6.1,56,23.8,3,0,6,0,2007
Bills  Bills,66,4052,6,9.1,56,20.5,0,0,2,1,2007
Ravens  Ravens,72,4488,7,9.7,61,23.7,3,0,2,0,2007
Falcons  Falcons,68,4430,15,22.1,50,23.0,2,1,2,1,2007
Redskins  Redskins,68,4280,9,13.2,55,20.1,1,0,4,0,2008
Buccaneers  Buccaneers,82,5157,6,7.3,74,20.8,1,0,1,0,2008
Seahawks  Seahawks,71,4732,22,31.0,47,25.6,2,0,0,0,2008
49ers  49ers,80,5081,9,11.3,65,23.3,5,0,1,0,2008
Chargers  Chargers,96,6069,8,8.3,86,22.6,2,2,0,1,2008
Steelers  Steelers,82,5104,9,11.0,71,19.1,1,0,1,0,2008
Cardinals  Cardinals,90,5699,15,16.7,69,25.0,5,1,1,1,2008
Eagles  Eagles,92,6031,17,18.5,75,22.6,0,0,0,1,2008
Jets  Jets,84,5239,7,8.3,73,21.5,3,1,0,0,2008
Giants  Giants,93,5669,4,4.3,85,22.5,1,0,2,0,2008
Saints  Saints,93,6032,14,15.1,76,24.0,1,0,2,1,2008
Patriots  Patriots,95,6083,17,17.9,75,22.3,1,0,1,2,2008
Vikings  Vikings,85,5488,6,7.1,78,23.5,1,0,1,0,2008
Dolphins  Dolphins,77,4887,7,9.1,68,24.3,1,0,1,0,2008
Raiders  Raiders,68,4459,22,32.4,44,24.4,2,1,0,1,2008
Rams  Rams,66,4497,8,12.1,56,26.2,1,1,1,0,2008
Chiefs  Chiefs,68,4077,4,5.9,62,23.6,3,0,1,1,2008
Jaguars  Jaguars,69,4306,10,14.5,51,19.9,5,1,3,0,2008
Colts  Colts,81,5263,8,9.9,70,24.3,3,1,0,0,2008
Texans  Texans,85,5460,9,10.6,73,22.3,2,0,0,0,2008
Titans  Titans,85,5708,22,25.9,61,25.0,1,1,1,0,2008
Packers  Packers,95,6109,17,17.9,72,23.4,3,0,3,0,2008
Lions  Lions,67,4418,7,10.4,57,23.4,2,1,2,0,2008
Broncos  Broncos,84,5443,19,22.6,63,24.7,1,0,1,1,2008
Cowboys  Cowboys,77,4656,0,0.0,71,21.3,2,0,5,1,2008
Browns  Browns,66,4249,12,18.2,53,23.2,0,0,0,1,2008
Bengals  Bengals,58,3689,9,15.5,47,22.5,1,1,1,0,2008
Bears  Bears,79,5134,9,11.4,68,24.4,1,0,0,0,2008
Panthers  Panthers,90,6008,30,33.3,59,21.9,1,0,1,0,2008
Bills  Bills,78,4803,10,12.8,63,19.8,1,0,2,0,2008
Ravens  Ravens,85,5458,9,10.6,76,22.6,0,0,0,2,2008
Falcons  Falcons,87,5823,16,18.4,71,21.6,0,0,0,0,2008
