Team,FF,FR,FR TD,Rec FUM,Rush FUM,Year
Falcons  Falcons,17,8,1,3,10,2019
Football Team  Football Team,14,7,1,1,7,2020
Buccaneers  Buccaneers,15,10,0,4,5,2020
Seahawks  Seahawks,14,8,0,2,6,2020
49ers  49ers,13,8,0,7,8,2020
Chargers  Chargers,6,7,0,2,8,2020
Steelers  Steelers,13,9,0,4,6,2020
Cardinals  Cardinals,15,10,0,1,5,2020
Eagles  Eagles,14,11,1,3,5,2020
Jets  Jets,17,9,0,4,11,2020
Giants  Giants,14,11,1,8,10,2020
Saints  Saints,7,8,0,0,7,2020
Patriots  Patriots,5,4,1,2,2,2020
Vikings  Vikings,11,7,0,2,5,2020
Dolphins  Dolphins,16,10,2,5,5,2020
Raiders  Raiders,8,5,0,3,2,2020
Rams  Rams,12,8,1,1,7,2020
Chiefs  Chiefs,13,6,0,8,1,2020
Jaguars  Jaguars,12,5,0,4,4,2020
Colts  Colts,14,10,0,6,4,2020
Texans  Texans,9,6,0,1,4,2020
Titans  Titans,12,8,1,5,10,2020
Packers  Packers,12,7,1,5,3,2020
Lions  Lions,15,5,0,7,5,2020
Broncos  Broncos,12,6,0,4,6,2020
Cowboys  Cowboys,16,12,2,2,9,2020
Browns  Browns,17,10,0,4,12,2020
Bengals  Bengals,10,6,0,6,4,2020
Bears  Bears,15,8,1,4,6,2020
Panthers  Panthers,14,15,3,3,6,2020
Bills  Bills,15,11,1,5,5,2020
Ravens  Ravens,25,12,3,11,7,2020
Falcons  Falcons,17,9,0,4,8,2020
