Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,PDef,Year
Vikings  Vikings,358,4267,11.9,30,63,12,61,208,58.1,2,55,2020
Dolphins  Dolphins,343,4373,12.7,21,57,12,85T,193,56.3,5,70,2020
Raiders  Raiders,370,4341,11.7,28,50,7,92T,223,60.3,3,73,2020
Rams  Rams,347,3401,9.8,17,36,4,59T,170,49.0,1,66,2020
Chiefs  Chiefs,349,3968,11.4,29,54,9,72T,202,57.9,8,63,2020
Jaguars  Jaguars,370,4322,11.7,34,52,9,78T,210,56.8,4,58,2020
Colts  Colts,369,4127,11.2,24,53,6,73,203,55.0,6,77,2020
Texans  Texans,377,4325,11.5,30,52,11,73T,222,58.9,1,49,2020
Titans  Titans,423,4593,10.9,36,55,8,75T,247,58.4,5,76,2020
Packers  Packers,346,3793,11.0,23,39,9,53,184,53.2,5,72,2020
Lions  Lions,383,4753,12.4,38,66,8,75T,253,66.1,7,49,2020
Broncos  Broncos,374,4089,10.9,21,59,6,84T,201,53.7,4,62,2020
Cowboys  Cowboys,328,3820,11.6,34,51,11,81T,180,54.9,2,46,2020
Browns  Browns,371,4224,11.4,31,49,10,47,214,57.7,4,73,2020
Bengals  Bengals,340,3942,11.6,32,57,8,55,192,56.5,6,76,2020
Bears  Bears,350,3939,11.3,28,50,7,72T,190,54.3,4,66,2020
Panthers  Panthers,398,4024,10.1,28,50,6,50,211,53.0,3,57,2020
Bills  Bills,369,3946,10.7,23,44,7,69T,199,53.9,5,75,2020
Ravens  Ravens,380,3808,10.0,22,38,4,50,213,56.1,11,65,2020
Falcons  Falcons,425,4918,11.6,34,66,9,58,239,56.2,4,50,2020
