Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,Year
Browns  Browns,541,2431,4.5,16,15,2,60,125,23.1,9,2008
Bengals  Bengals,490,1921,3.9,15,9,2,51,106,21.6,10,2008
Bears  Bears,437,1496,3.4,16,12,4,59,93,21.3,3,2008
Panthers  Panthers,432,1912,4.4,14,12,2,51,100,23.1,4,2008
Bills  Bills,455,1946,4.3,18,15,4,72T,113,24.8,6,2008
Ravens  Ravens,366,1302,3.6,4,9,1,77,58,15.8,5,2008
Falcons  Falcons,415,2046,4.9,17,16,3,68T,108,26.0,6,2008
Redskins  Redskins,449,1799,4.0,10,9,3,67T,85,18.9,10,2009
Buccaneers  Buccaneers,529,2531,4.8,16,25,2,45,129,24.4,7,2009
Seahawks  Seahawks,428,1776,4.1,17,12,3,80T,80,18.7,7,2009
49ers  49ers,426,1552,3.6,12,9,1,41,77,18.1,7,2009
Chargers  Chargers,422,1884,4.5,10,9,0,36,112,26.5,11,2009
Steelers  Steelers,372,1438,3.9,7,6,0,37,70,18.8,4,2009
Cardinals  Cardinals,402,1804,4.5,13,11,4,85T,81,20.1,6,2009
Eagles  Eagles,413,1675,4.1,11,11,2,72,81,19.6,8,2009
Jets  Jets,420,1578,3.8,11,10,0,35,87,20.7,6,2009
Giants  Giants,423,1773,4.2,21,17,4,66T,103,24.3,6,2009
Saints  Saints,435,1955,4.5,19,11,3,68T,111,25.5,3,2009
Patriots  Patriots,398,1768,4.4,6,10,2,50,80,20.1,9,2009
Vikings  Vikings,357,1394,3.9,5,6,1,42,63,17.6,8,2009
Dolphins  Dolphins,435,1835,4.2,16,6,1,50,88,20.2,5,2009
Raiders  Raiders,548,2488,4.5,24,19,6,77T,126,23.0,12,2009
Rams  Rams,500,2201,4.4,24,12,6,62T,127,25.4,7,2009
Chiefs  Chiefs,531,2504,4.7,18,15,4,78,122,23.0,5,2009
Jaguars  Jaguars,458,1863,4.1,12,8,3,89T,100,21.8,15,2009
Colts  Colts,467,2024,4.3,10,9,1,64T,106,22.7,5,2009
Texans  Texans,396,1711,4.3,17,14,3,91T,91,23.0,10,2009
Titans  Titans,402,1711,4.3,16,8,4,80T,89,22.1,7,2009
Packers  Packers,371,1333,3.6,5,6,1,42,68,18.3,10,2009
Lions  Lions,458,2025,4.4,18,18,5,61,95,20.7,9,2009
Broncos  Broncos,458,2059,4.5,11,17,3,56T,99,21.6,13,2009
Cowboys  Cowboys,365,1448,4.0,7,9,0,35,74,20.3,7,2009
Browns  Browns,506,2314,4.6,15,11,3,64T,120,23.7,9,2009
Bengals  Bengals,399,1573,3.9,12,5,1,57,95,23.8,6,2009
Bears  Bears,467,2022,4.3,14,14,1,62T,105,22.5,10,2009
Panthers  Panthers,450,1997,4.4,15,10,3,46T,109,24.2,10,2009
Bills  Bills,535,2501,4.7,19,18,3,76T,134,25.0,6,2009
Ravens  Ravens,435,1492,3.4,8,8,1,58,82,18.9,5,2009
Falcons  Falcons,433,1711,4.0,10,7,1,45T,89,20.6,12,2009
Redskins  Redskins,444,2041,4.6,15,13,4,71,106,23.9,7,2010
Buccaneers  Buccaneers,444,2107,4.7,12,14,1,54,118,26.6,7,2010
Seahawks  Seahawks,452,1903,4.2,13,16,3,53,91,20.1,7,2010
49ers  49ers,447,1547,3.5,9,9,1,43,86,19.2,4,2010
Chargers  Chargers,404,1500,3.7,14,7,1,56T,77,19.1,2,2010
Steelers  Steelers,333,1004,3.0,5,1,0,24,61,18.3,5,2010
Cardinals  Cardinals,526,2323,4.4,19,19,1,48,123,23.4,10,2010
Eagles  Eagles,423,1766,4.2,12,9,1,61,91,21.5,7,2010
Jets  Jets,408,1454,3.6,11,8,0,32,70,17.2,12,2010
Giants  Giants,389,1620,4.2,11,12,3,50T,88,22.6,5,2010
Saints  Saints,421,1797,4.3,13,13,3,68,94,22.3,8,2010
Patriots  Patriots,409,1728,4.2,10,6,0,36,99,24.2,9,2010
Vikings  Vikings,417,1635,3.9,10,10,3,73,87,20.9,7,2010
Dolphins  Dolphins,447,1601,3.6,8,4,0,30,84,18.8,4,2010
Raiders  Raiders,474,2138,4.5,14,17,7,76T,98,20.7,6,2010
Rams  Rams,404,1810,4.5,7,15,1,80,88,21.8,5,2010
