Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys,Year
Steelers  Steelers,221,86,13,8,156,54.0,82,20.6,964,2011
Cardinals  Cardinals,226,71,8,4,174,51.2,118,24.8,1095,2011
Eagles  Eagles,211,75,17,7,173,57.5,84,20.3,982,2011
Jets  Jets,211,69,10,1,167,60.7,83,18.4,993,2011
Giants  Giants,220,84,18,10,210,58.2,103,23.7,1072,2011
Saints  Saints,202,67,22,6,196,54.1,92,26.2,1010,2011
Patriots  Patriots,202,87,19,8,245,63.5,101,24.9,1064,2011
Vikings  Vikings,208,92,9,5,213,58.0,92,21.0,1027,2011
Dolphins  Dolphins,219,74,14,7,198,56.6,88,21.4,1043,2011
Raiders  Raiders,219,92,14,4,206,63.6,105,24.4,1070,2011
Rams  Rams,216,83,8,5,166,56.7,122,23.9,1033,2011
Chiefs  Chiefs,210,72,16,7,169,65.8,96,18.9,991,2011
Jaguars  Jaguars,218,79,9,4,175,53.7,73,16.8,979,2011
Colts  Colts,216,98,6,3,193,55.0,136,25.2,1062,2011
Texans  Texans,212,76,13,6,166,59.5,73,19.3,960,2011
Titans  Titans,236,96,20,8,187,50.7,111,24.1,1080,2011
Packers  Packers,195,83,16,4,246,63.1,96,25.1,1049,2011
Lions  Lions,205,67,19,8,195,51.9,91,22.2,1055,2011
Broncos  Broncos,218,73,9,3,182,54.7,101,20.7,1063,2011
Cowboys  Cowboys,204,81,11,4,199,59.2,78,20.3,972,2011
Browns  Browns,230,95,14,6,149,56.2,124,23.2,1035,2011
Bengals  Bengals,220,78,11,4,170,53.3,94,22.1,1009,2011
Bears  Bears,229,80,17,7,199,52.0,75,19.5,1048,2011
Panthers  Panthers,194,83,12,4,191,60.1,110,24.4,972,2011
Bills  Bills,189,75,13,9,196,61.1,120,25.7,1003,2011
Ravens  Ravens,221,71,21,10,166,57.6,79,18.9,1002,2011
Falcons  Falcons,211,93,11,6,186,54.7,87,23.4,965,2011
Redskins  Redskins,215,95,14,8,223,56.7,89,24.5,1031,2012
Buccaneers  Buccaneers,219,88,14,6,226,55.1,75,19.9,1031,2012
Seahawks  Seahawks,198,76,10,3,186,56.9,80,21.7,968,2012
49ers  49ers,215,71,25,14,178,52.8,72,17.7,1012,2012
Chargers  Chargers,214,90,10,4,201,57.9,85,20.9,1012,2012
Steelers  Steelers,206,73,11,8,169,56.5,78,19.9,951,2012
Cardinals  Cardinals,222,73,9,4,160,59.3,107,21.1,1041,2012
Eagles  Eagles,203,83,10,2,178,61.0,108,22.5,994,2012
Jets  Jets,226,84,15,12,161,60.5,96,19.4,1019,2012
Giants  Giants,198,84,21,10,196,57.5,104,23.2,1016,2012
Saints  Saints,208,80,19,10,236,63.8,116,25.4,1089,2012
Patriots  Patriots,205,82,23,9,207,56.1,100,24.1,1046,2012
Vikings  Vikings,230,95,20,11,229,58.6,82,19.2,1083,2012
Dolphins  Dolphins,238,87,17,12,215,60.9,79,18.3,1073,2012
Raiders  Raiders,212,83,14,8,180,51.9,95,21.4,995,2012
Rams  Rams,213,80,16,6,197,54.4,107,24.2,1041,2012
Chiefs  Chiefs,202,79,4,3,176,63.1,106,22.0,973,2012
Jaguars  Jaguars,215,89,9,4,194,56.9,133,24.4,1100,2012
Colts  Colts,197,75,7,3,190,56.9,102,23.8,995,2012
Texans  Texans,215,71,16,5,167,54.2,94,24.1,1015,2012
Titans  Titans,214,85,14,6,210,56.1,122,25.3,1086,2012
Packers  Packers,218,83,23,9,191,61.0,83,19.9,1033,2012
Lions  Lions,208,76,6,5,167,48.3,107,25.5,998,2012
Broncos  Broncos,216,66,18,7,183,57.0,73,18.1,1015,2012
Cowboys  Cowboys,202,81,11,6,195,60.9,92,20.9,986,2012
Browns  Browns,223,85,11,7,203,53.7,104,22.8,1095,2012
Bengals  Bengals,219,79,12,5,183,52.9,99,23.4,1034,2012
Bears  Bears,220,78,16,10,186,53.1,75,19.3,1021,2012
Panthers  Panthers,202,73,19,10,195,52.6,98,23.6,1010,2012
Bills  Bills,209,92,12,6,182,59.5,136,28.9,1042,2012
Ravens  Ravens,232,83,12,6,187,55.8,105,21.3,1086,2012
Falcons  Falcons,200,81,13,6,189,56.1,99,24.1,991,2012
Redskins  Redskins,194,66,17,12,204,60.5,102,23.0,993,2013
Buccaneers  Buccaneers,204,80,14,8,190,54.0,95,21.7,1020,2013
Seahawks  Seahawks,216,76,11,4,156,50.5,83,19.7,990,2013
49ers  49ers,223,76,23,10,181,52.5,77,19.4,1020,2013
Chargers  Chargers,180,70,13,6,208,57.1,98,26.1,959,2013
Steelers  Steelers,230,91,20,9,174,52.9,106,24.5,1036,2013
Cardinals  Cardinals,221,78,16,6,208,56.7,68,18.4,1042,2013
Eagles  Eagles,231,93,20,8,239,58.6,100,22.6,1150,2013
Jets  Jets,231,85,18,7,198,57.4,68,16.2,1048,2013
Giants  Giants,232,93,15,4,198,54.8,101,22.2,1089,2013
Saints  Saints,199,69,12,4,168,55.3,82,21.2,943,2013
Patriots  Patriots,232,98,21,4,208,61.9,110,22.9,1118,2013
Vikings  Vikings,231,102,18,11,247,58.9,101,22.8,1132,2013
Dolphins  Dolphins,238,91,15,8,192,55.8,114,23.6,1106,2013
Raiders  Raiders,211,91,6,2,202,54.0,100,22.6,1029,2013
Rams  Rams,201,78,16,9,203,57.2,87,19.8,1014,2013
Chiefs  Chiefs,229,78,18,9,189,56.6,88,20.6,1067,2013
Jaguars  Jaguars,226,96,12,9,200,56.5,121,23.9,1089,2013
Colts  Colts,210,79,19,10,191,59.0,101,22.5,1026,2013
Texans  Texans,217,75,8,3,158,55.1,88,19.4,970,2013
Titans  Titans,201,69,11,7,191,55.5,108,24.2,1027,2013
Packers  Packers,204,78,17,10,190,57.2,116,26.9,1015,2013
Lions  Lions,211,64,12,9,197,58.3,62,16.4,982,2013
Broncos  Broncos,218,83,15,4,208,58.3,90,21.4,1074,2013
Cowboys  Cowboys,210,91,18,9,231,57.3,122,27.9,1094,2013
Browns  Browns,244,109,9,4,197,54.3,103,22.3,1107,2013
Bengals  Bengals,225,74,16,5,178,49.2,72,18.7,1042,2013
Bears  Bears,200,83,16,12,184,58.4,147,30.4,1021,2013
Panthers  Panthers,212,76,11,3,178,47.5,70,19.9,975,2013
Bills  Bills,245,91,10,4,170,54.8,98,20.8,1089,2013
Ravens  Ravens,233,78,14,8,176,56.1,79,18.0,1032,2013
Falcons  Falcons,209,96,11,7,196,57.5,102,22.4,1003,2013
Redskins  Redskins,207,89,9,5,195,56.5,77,18.3,976,2014
Buccaneers  Buccaneers,213,93,9,5,223,57.6,103,22.0,1067,2014
Seahawks  Seahawks,202,75,14,8,175,55.9,70,18.4,924,2014
49ers  49ers,203,88,14,7,188,58.0,83,20.6,989,2014
Chargers  Chargers,207,89,10,2,168,52.5,98,22.4,988,2014
Steelers  Steelers,189,71,14,10,193,55.1,88,23.9,944,2014
Cardinals  Cardinals,215,81,13,5,195,53.4,77,19.4,1010,2014
Eagles  Eagles,232,88,12,3,211,61.2,88,18.6,1113,2014
Jets  Jets,219,99,4,0,194,56.2,74,18.8,976,2014
Giants  Giants,200,72,10,4,187,57.7,112,25.6,1007,2014
Saints  Saints,215,99,8,4,205,60.1,111,25.1,1022,2014
Patriots  Patriots,209,84,23,8,196,57.3,88,21.0,1033,2014
Vikings  Vikings,217,90,14,9,189,53.5,100,22.2,1025,2014
Dolphins  Dolphins,223,98,22,13,194,57.4,99,21.9,1029,2014
Raiders  Raiders,221,85,9,4,190,55.4,95,19.8,1041,2014
Rams  Rams,213,82,10,0,189,51.4,83,19.5,1005,2014
Chiefs  Chiefs,216,79,21,8,184,57.9,108,24.9,1024,2014
Jaguars  Jaguars,236,101,10,4,200,56.3,107,21.4,1085,2014
Colts  Colts,201,67,17,4,175,54.7,103,24.3,1007,2014
Texans  Texans,218,74,17,6,206,56.7,89,21.2,1077,2014
Titans  Titans,227,94,11,5,211,60.8,119,23.1,1099,2014
Packers  Packers,206,83,28,15,196,58.9,116,25.8,1054,2014
Lions  Lions,207,77,15,6,209,54.6,59,16.9,984,2014
Broncos  Broncos,222,81,17,10,219,54.9,60,17.2,1031,2014
Cowboys  Cowboys,204,89,20,10,195,52.6,86,21.9,978,2014
Browns  Browns,239,90,18,11,184,54.9,126,25.2,1118,2014
Bengals  Bengals,215,79,19,10,197,54.0,105,23.9,1067,2014
Bears  Bears,201,85,19,12,227,62.0,78,18.5,1008,2014
Panthers  Panthers,210,89,11,5,193,53.0,91,22.9,999,2014
