Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,Year
Cardinals  Cardinals,593,346,58.3,6.7,3739,22,21,76.4,188,31.7,50,10,72,43,2009
Eagles  Eagles,580,354,61.0,6.5,3462,27,25,77.6,179,30.9,46,6,86T,44,2009
Jets  Jets,501,259,51.7,5.4,2459,8,17,58.8,128,25.5,31,3,59,32,2009
Giants  Giants,498,314,63.1,7.4,3425,31,13,95.1,182,36.5,51,10,60T,32,2009
Saints  Saints,574,330,57.5,6.9,3769,15,26,68.6,175,30.5,48,11,71T,35,2009
Patriots  Patriots,512,300,58.6,7.0,3355,25,18,81.7,193,37.7,42,5,75T,31,2009
Vikings  Vikings,535,341,63.7,7.1,3494,26,11,92.5,183,34.2,52,9,63,48,2009
Dolphins  Dolphins,489,281,57.5,8.2,3754,23,15,86.9,184,37.6,57,17,81T,44,2009
Raiders  Raiders,438,259,59.1,8.1,3303,16,8,89.5,158,36.1,56,16,63,37,2009
Rams  Rams,491,315,64.2,8.0,3764,22,8,96.9,182,37.1,56,13,73T,25,2009
Chiefs  Chiefs,509,302,59.3,7.6,3707,25,15,87.1,178,35.0,44,16,64T,22,2009
Jaguars  Jaguars,510,345,67.6,7.6,3774,28,15,96.0,191,37.5,48,7,98T,14,2009
Colts  Colts,583,372,63.8,6.2,3403,19,16,80.6,203,34.8,27,6,63T,34,2009
Texans  Texans,548,344,62.8,6.7,3487,19,14,83.2,175,31.9,39,7,69T,30,2009
Titans  Titans,604,404,66.9,7.2,4139,31,20,91.2,210,34.8,61,9,72T,32,2009
Packers  Packers,540,294,54.4,6.4,3218,29,30,68.8,168,31.1,49,9,68,37,2009
Lions  Lions,545,371,68.1,8.1,4249,35,9,107.0,213,39.1,54,17,68,26,2009
Broncos  Broncos,510,298,58.4,6.3,2981,18,17,75.0,167,32.7,40,4,53,39,2009
Cowboys  Cowboys,572,344,60.1,6.8,3606,19,11,83.5,186,32.5,45,5,74T,42,2009
Browns  Browns,526,313,59.5,7.9,3915,22,10,90.6,189,35.9,62,13,75T,40,2009
Bengals  Bengals,547,318,58.1,6.4,3249,18,19,73.6,165,30.2,41,6,87T,34,2009
Bears  Bears,531,341,64.2,6.9,3382,29,13,92.3,186,35.0,41,4,50T,35,2009
Panthers  Panthers,495,305,61.6,6.6,3056,14,22,71.7,155,31.3,37,6,63,31,2009
Bills  Bills,519,295,56.8,6.0,2948,14,28,61.1,157,30.3,34,5,52,32,2009
Ravens  Ravens,524,306,58.4,6.7,3316,17,22,71.9,164,31.3,48,8,81T,32,2009
Falcons  Falcons,536,335,62.5,7.5,3871,25,15,89.5,197,36.8,55,11,65T,28,2009
Redskins  Redskins,578,367,63.5,7.5,4187,23,14,89.6,207,35.8,57,10,92T,29,2010
Buccaneers  Buccaneers,521,307,58.9,6.4,3216,23,19,77.6,171,32.8,37,9,65T,26,2010
Seahawks  Seahawks,585,339,57.9,7.2,3994,31,12,89.7,206,35.2,60,11,69T,37,2010
49ers  49ers,550,358,65.1,7.2,3697,25,15,90.0,188,34.2,48,11,71,36,2010
Chargers  Chargers,488,285,58.4,6.4,2845,18,16,76.2,153,31.4,36,5,71T,47,2010
Steelers  Steelers,593,363,61.2,6.3,3425,15,21,73.1,182,30.7,35,7,67,48,2010
Cardinals  Cardinals,533,324,60.8,7.3,3654,22,17,83.5,178,33.4,55,7,70,33,2010
Eagles  Eagles,536,309,57.6,7.0,3469,31,23,80.8,185,34.5,54,9,80T,39,2010
Jets  Jets,531,269,50.7,6.5,3210,24,12,77.1,169,31.8,48,5,50,40,2010
Giants  Giants,539,308,57.1,6.8,3352,24,16,80.5,159,29.5,44,10,87T,46,2010
Saints  Saints,494,306,61.9,6.8,3103,13,9,83.2,150,30.4,42,7,68,33,2010
Patriots  Patriots,611,388,63.5,7.1,4136,25,25,81.2,226,37.0,55,4,66T,36,2010
Vikings  Vikings,529,333,62.9,6.7,3367,25,15,86.4,178,33.6,39,7,67T,31,2010
Dolphins  Dolphins,502,288,57.4,7.1,3348,22,11,85.0,166,33.1,50,11,86T,39,2010
Raiders  Raiders,470,249,53.0,7.1,3027,29,12,85.6,150,31.9,51,7,57T,47,2010
Rams  Rams,570,328,57.5,6.8,3578,21,14,80.4,191,33.5,51,5,65,43,2010
Chiefs  Chiefs,581,319,54.9,6.5,3519,23,14,78.1,186,32.0,44,10,87T,39,2010
Jaguars  Jaguars,506,329,65.0,8.3,4004,28,13,98.5,197,38.9,58,13,67T,26,2010
Colts  Colts,535,356,66.5,6.8,3433,22,10,91.7,190,35.5,40,4,61,30,2010
Texans  Texans,547,354,64.7,8.2,4280,33,13,100.5,211,38.6,56,18,73T,30,2010
Titans  Titans,625,410,65.6,6.9,4032,23,17,86.4,214,34.2,45,10,75T,40,2010
Packers  Packers,527,296,56.2,6.5,3107,16,24,67.2,163,30.9,44,8,85T,47,2010
Lions  Lions,518,330,63.7,7.3,3498,23,14,89.2,187,36.1,43,9,89T,44,2010
Broncos  Broncos,502,297,59.2,7.8,3780,26,10,93.0,184,36.7,62,12,73T,23,2010
Cowboys  Cowboys,540,348,64.4,7.7,3894,33,20,92.8,200,37.0,57,13,91T,35,2010
Browns  Browns,507,309,60.9,7.3,3531,26,19,84.8,195,38.5,49,8,78T,29,2010
Bengals  Bengals,514,326,63.4,7.1,3469,21,16,85.2,170,33.1,47,10,54,27,2010
Bears  Bears,582,363,62.4,6.6,3588,14,21,74.4,183,31.4,44,5,59T,34,2010
Panthers  Panthers,526,326,62.0,6.9,3393,19,17,81.0,176,33.5,45,7,56T,31,2010
Bills  Bills,473,294,62.2,6.9,3072,28,11,92.6,179,37.8,38,4,52T,27,2010
Ravens  Ravens,596,349,58.6,6.4,3599,22,19,76.4,187,31.4,52,5,88T,27,2010
Falcons  Falcons,560,364,65.0,6.9,3625,23,22,82.2,183,32.7,38,6,83T,31,2010
