Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY,Year
Steelers  Steelers,479,298,62.2,8.1,3890,22,9,95.2,175,36.5,62,11,56T,43,289,2010
Cardinals  Cardinals,561,285,50.8,5.8,3264,10,19,60.5,154,27.5,44,3,74T,50,343,2010
Eagles  Eagles,561,348,62.0,7.5,4215,28,13,92.1,189,33.7,61,15,91T,49,309,2010
Jets  Jets,525,288,54.9,6.5,3420,20,14,76.5,171,32.6,44,11,74T,28,178,2010
Giants  Giants,539,339,62.9,7.4,4002,31,25,85.3,192,35.6,57,7,92T,16,117,2010
Saints  Saints,661,450,68.1,7.0,4636,33,22,90.8,236,35.7,47,10,80T,26,195,2010
Patriots  Patriots,507,331,65.3,7.9,4022,37,5,109.8,196,38.7,54,10,79T,25,175,2010
Vikings  Vikings,505,305,60.4,6.6,3327,14,26,67.7,159,31.5,47,3,53T,36,230,2010
Dolphins  Dolphins,557,335,60.1,6.7,3755,17,21,74.8,189,33.9,44,4,57T,38,228,2010
Raiders  Raiders,491,279,56.8,7.1,3471,18,16,77.5,159,32.4,45,12,73T,44,291,2010
Rams  Rams,590,354,60.0,6.0,3512,18,15,76.5,179,30.3,36,4,49,34,244,2010
Chiefs  Chiefs,475,274,57.7,6.7,3189,27,8,90.1,167,35.2,40,4,75T,32,221,2010
Jaguars  Jaguars,469,291,62.0,7.2,3356,26,21,83.4,161,34.3,47,6,75,38,291,2010
Colts  Colts,679,450,66.3,6.9,4700,33,17,91.9,253,37.3,43,9,73T,16,91,2010
Texans  Texans,574,365,63.6,7.6,4370,24,12,92.0,222,38.7,59,9,60,32,226,2010
Titans  Titans,474,273,57.6,6.9,3278,24,15,82.6,155,32.7,44,8,80T,27,171,2010
Packers  Packers,541,352,65.1,8.0,4355,31,13,98.9,204,37.7,57,11,86T,38,231,2010
Lions  Lions,633,383,60.5,6.3,4001,26,16,82.0,199,31.4,43,6,87T,27,191,2010
Broncos  Broncos,580,334,57.6,7.4,4307,25,12,86.8,204,35.2,62,13,71,40,269,2010
Cowboys  Cowboys,576,379,65.8,7.3,4208,29,19,90.4,201,34.9,57,8,71T,31,166,2010
Browns  Browns,478,296,61.9,6.7,3203,13,18,75.0,154,32.2,42,6,65T,36,214,2010
Bengals  Bengals,590,365,61.9,6.8,3988,26,20,82.4,206,34.9,45,9,78T,28,221,2010
Bears  Bears,466,276,59.2,7.3,3397,23,21,79.5,163,35.0,42,6,89T,56,382,2010
Panthers  Panthers,484,256,52.9,5.4,2635,9,21,57.0,125,25.8,30,3,88T,50,346,2010
Bills  Bills,519,296,57.0,6.5,3371,24,21,75.2,166,32.0,42,8,65T,34,213,2010
Ravens  Ravens,491,308,62.7,7.4,3629,25,10,93.6,175,35.6,40,7,67,40,294,2010
Falcons  Falcons,577,361,62.6,6.5,3725,28,9,90.8,200,34.7,32,6,46,23,158,2010
Redskins  Redskins,591,346,58.5,6.9,4058,19,24,73.3,204,34.5,57,7,51,41,285,2011
Buccaneers  Buccaneers,588,365,62.1,6.5,3838,17,24,73.6,180,30.6,37,6,65T,32,188,2011
Seahawks  Seahawks,509,299,58.7,6.8,3444,15,14,77.6,153,30.1,51,9,61T,50,339,2011
49ers  49ers,451,277,61.4,7.1,3193,18,5,91.4,150,33.3,41,6,56T,44,263,2011
Chargers  Chargers,582,366,62.9,7.9,4624,27,20,88.7,234,40.2,69,8,58,30,198,2011
Steelers  Steelers,539,341,63.3,8.0,4333,21,15,89.7,221,41.0,60,10,95T,42,279,2011
Cardinals  Cardinals,550,307,55.8,7.2,3954,21,23,73.9,175,31.8,55,15,73T,54,387,2011
Eagles  Eagles,554,330,59.6,7.7,4276,22,25,78.3,197,35.6,64,10,73,32,166,2011
Jets  Jets,547,310,56.7,6.5,3542,26,18,78.4,173,31.6,41,3,74,40,245,2011
Giants  Giants,589,359,61.0,8.4,4933,29,16,92.9,216,36.7,67,18,99T,28,199,2011
Saints  Saints,662,472,71.3,8.3,5505,46,14,110.5,280,42.3,69,11,79T,24,158,2011
Patriots  Patriots,612,402,65.7,8.6,5257,39,12,105.7,262,42.8,72,14,99T,32,173,2011
Vikings  Vikings,510,286,56.1,6.4,3255,20,17,74.6,159,31.2,41,7,72,49,298,2011
Dolphins  Dolphins,469,280,59.7,7.3,3425,20,13,84.9,166,35.4,56,7,65T,52,334,2011
Raiders  Raiders,524,315,60.1,7.9,4119,20,23,79.4,186,35.5,63,14,78,25,157,2011
Rams  Rams,549,292,53.2,5.9,3258,9,10,69.0,159,29.0,37,3,68,55,388,2011
Chiefs  Chiefs,500,299,59.8,6.6,3288,13,18,73.0,163,32.6,39,7,52T,34,208,2011
Jaguars  Jaguars,469,240,51.2,5.4,2510,12,15,62.2,122,26.0,30,4,74T,44,331,2011
Colts  Colts,534,302,56.6,6.0,3223,14,14,72.2,170,31.8,32,6,87T,35,228,2011
Texans  Texans,467,288,61.7,7.9,3696,20,9,92.7,176,37.7,55,11,80T,33,190,2011
Titans  Titans,584,353,60.4,7.0,4113,22,14,84.4,185,31.7,51,14,80T,24,190,2011
Packers  Packers,552,376,68.1,9.3,5161,51,8,122.6,230,41.7,70,16,93T,41,237,2011
Lions  Lions,666,423,63.5,7.6,5071,41,16,97.2,244,36.6,65,16,73T,36,257,2011
Broncos  Broncos,429,217,50.6,6.3,2708,20,13,73.5,130,30.3,36,8,56T,42,274,2011
Cowboys  Cowboys,570,376,66.0,7.8,4453,33,12,100.1,219,38.4,58,11,77,39,252,2011
Browns  Browns,570,320,56.1,5.8,3300,16,13,72.8,173,30.4,32,6,76T,39,210,2011
Bengals  Bengals,535,308,57.6,6.6,3507,21,14,79.6,160,29.9,51,11,84,25,167,2011
Bears  Bears,473,268,56.7,7.1,3346,18,20,73.8,153,32.3,43,7,81,49,335,2011
Panthers  Panthers,519,312,60.1,7.9,4089,21,17,84.8,175,33.7,66,9,91T,35,260,2011
Bills  Bills,578,356,61.6,6.7,3857,24,25,77.0,180,31.1,48,8,60T,23,154,2011
Ravens  Ravens,544,314,57.7,6.7,3629,21,12,81.7,181,33.3,44,7,74T,33,206,2011
Falcons  Falcons,594,365,61.4,7.3,4365,29,13,91.1,215,36.2,56,10,80T,26,173,2011
Redskins  Redskins,442,291,65.8,8.3,3666,24,8,102.1,171,38.7,53,8,88T,33,244,2012
Buccaneers  Buccaneers,566,311,54.9,7.3,4144,27,17,81.8,188,33.2,57,16,95,26,161,2012
Seahawks  Seahawks,405,259,64.0,8.0,3234,27,10,100.6,153,37.8,45,11,67,33,203,2012
49ers  49ers,436,289,66.3,8.1,3551,23,8,101.2,172,39.4,54,8,57,41,253,2012
Chargers  Chargers,528,338,64.0,6.8,3606,26,15,88.5,184,34.8,41,3,80T,49,311,2012
Steelers  Steelers,574,354,61.7,7.0,4012,27,14,88.1,202,35.2,49,7,82T,37,225,2012
Cardinals  Cardinals,608,337,55.4,5.6,3383,11,21,63.1,168,27.6,36,3,53,58,378,2012
Eagles  Eagles,618,367,59.4,6.6,4075,18,15,78.6,190,30.7,51,6,77T,48,284,2012
Jets  Jets,493,272,55.2,6.4,3178,14,19,68.3,162,32.9,40,6,66,47,287,2012
Giants  Giants,539,323,59.9,7.4,3967,26,15,87.2,187,34.7,50,10,80T,20,142,2012
Saints  Saints,671,423,63.0,7.7,5187,43,19,96.4,267,39.8,66,13,80T,26,190,2012
Patriots  Patriots,641,402,62.7,7.6,4844,34,9,97.7,256,39.9,57,8,83T,27,182,2012
Vikings  Vikings,483,300,62.1,6.1,2935,18,12,81.2,163,33.7,28,3,65,32,184,2012
Dolphins  Dolphins,504,293,58.1,6.8,3425,13,13,76.7,158,31.3,42,3,80T,37,243,2012
Raiders  Raiders,629,376,59.8,6.8,4292,24,16,82.4,200,31.8,52,10,64T,27,208,2012
Rams  Rams,557,332,59.6,6.8,3783,22,14,82.7,189,33.9,43,8,80T,35,233,2012
Chiefs  Chiefs,475,273,57.5,6.2,2937,8,20,63.8,144,30.3,36,3,57,40,224,2012
Jaguars  Jaguars,586,328,56.0,6.4,3746,20,17,74.7,157,26.8,48,8,81T,50,327,2012
Colts  Colts,628,339,54.0,7.0,4374,23,18,76.4,208,33.1,65,11,70T,41,246,2012
Texans  Texans,554,354,63.9,7.3,4046,22,13,89.2,205,37.0,46,8,60T,28,216,2012
Titans  Titans,540,318,58.9,6.6,3577,17,16,76.9,166,30.7,42,7,71T,39,254,2012
Packers  Packers,558,374,67.0,7.8,4342,40,8,108.3,213,38.2,55,9,73,51,293,2012
Lions  Lions,740,445,60.1,6.9,5139,22,17,81.5,272,36.8,67,10,57,29,212,2012
Broncos  Broncos,588,402,68.4,7.9,4671,37,11,105.3,232,39.5,64,7,71T,21,137,2012
Cowboys  Cowboys,658,434,66.0,7.6,4992,29,19,91.3,237,36.0,55,9,85T,36,263,2012
Browns  Browns,566,328,58.0,6.5,3668,16,18,73.5,185,32.7,50,6,71T,36,233,2012
Bengals  Bengals,540,335,62.0,7.1,3807,28,16,88.1,173,32.0,39,14,73T,46,229,2012
Bears  Bears,485,287,59.2,6.8,3298,21,16,80.4,163,33.6,39,6,60T,44,299,2012
Panthers  Panthers,490,284,58.0,8.0,3927,19,12,86.5,171,34.9,58,11,82,36,244,2012
Bills  Bills,511,309,60.5,6.7,3430,24,17,82.2,176,34.4,44,7,68T,30,161,2012
Ravens  Ravens,560,334,59.6,7.1,3996,22,11,86.4,182,32.5,62,12,61T,38,257,2012
Falcons  Falcons,615,422,68.6,7.7,4719,32,14,99.1,246,40.0,46,10,80T,28,210,2012
Redskins  Redskins,611,355,58.1,6.6,4057,20,19,76.1,198,32.4,39,6,62T,43,306,2013
Buccaneers  Buccaneers,514,291,56.6,6.2,3181,22,12,79.6,157,30.5,39,7,85T,47,361,2013
Seahawks  Seahawks,420,267,63.6,8.4,3508,27,9,102.4,160,38.1,52,10,80T,44,272,2013
49ers  49ers,417,244,58.5,7.7,3210,21,8,91.7,148,35.5,46,10,64T,39,231,2013
Chargers  Chargers,544,378,69.5,8.2,4478,32,11,105.5,230,42.3,60,6,60T,30,150,2013
Steelers  Steelers,586,377,64.3,7.3,4306,28,14,92.3,207,35.3,61,10,67,43,289,2013
Cardinals  Cardinals,574,363,63.2,7.5,4291,24,22,83.9,205,35.7,49,9,91T,41,289,2013
Eagles  Eagles,508,310,61.0,8.7,4406,32,9,102.7,197,38.8,80,18,70,46,296,2013
Jets  Jets,480,266,55.4,6.8,3270,13,22,66.6,154,32.1,47,6,69T,47,338,2013
Giants  Giants,567,325,57.3,6.8,3875,18,29,67.6,176,31.0,54,7,70T,40,287,2013
Saints  Saints,651,446,68.5,7.9,5162,39,12,104.5,244,37.5,67,15,76T,37,244,2013
Patriots  Patriots,628,380,60.5,6.9,4343,25,11,87.3,225,35.8,49,8,81T,40,256,2013
Vikings  Vikings,546,325,59.5,6.7,3645,18,19,76.0,173,31.7,54,7,79T,44,218,2013
Dolphins  Dolphins,594,357,60.1,6.7,3966,24,19,80.1,205,34.5,47,11,67,58,399,2013
Raiders  Raiders,519,298,57.4,7.0,3629,17,20,73.9,168,32.4,48,8,73T,44,289,2013
Rams  Rams,506,301,59.5,6.6,3360,22,11,84.8,165,32.6,41,5,81T,36,235,2013
Chiefs  Chiefs,546,333,61.0,6.5,3561,24,8,88.6,179,32.8,45,7,71T,41,221,2013
Jaguars  Jaguars,592,349,59.0,6.3,3751,16,21,71.8,176,29.7,44,6,67T,50,310,2013
Colts  Colts,582,350,60.1,6.8,3952,23,10,86.5,191,32.8,45,10,73T,32,227,2013
Texans  Texans,633,371,58.6,6.6,4183,19,22,74.0,198,31.3,53,9,66,42,370,2013
Titans  Titans,533,328,61.5,7.0,3710,22,16,83.6,172,32.3,48,10,77T,37,214,2013
Packers  Packers,570,366,64.2,8.0,4538,25,16,91.7,201,35.3,65,11,83T,45,270,2013
Lions  Lions,634,371,58.5,7.3,4650,29,19,84.2,221,34.9,62,10,87,23,168,2013
Broncos  Broncos,675,461,68.3,8.3,5572,55,10,114.4,293,43.4,68,13,78T,20,128,2013
Cowboys  Cowboys,586,375,64.0,7.2,4226,33,12,95.7,213,36.3,48,7,82T,35,272,2013
Browns  Browns,681,379,55.7,6.4,4372,26,20,75.7,200,29.4,52,14,95T,49,325,2013
Bengals  Bengals,587,364,62.0,7.4,4318,33,20,89.0,205,34.9,57,15,82T,29,182,2013
Bears  Bears,579,373,64.4,7.7,4450,32,13,96.9,215,37.1,53,11,80T,30,169,2013
Panthers  Panthers,473,292,61.7,7.1,3379,24,13,88.8,169,35.7,33,7,79T,43,336,2013
Bills  Bills,522,299,57.3,6.5,3373,16,15,75.0,149,28.5,46,9,59T,48,270,2013
Ravens  Ravens,619,363,58.6,6.3,3914,19,23,72.0,189,30.5,45,14,74,48,324,2013
Falcons  Falcons,659,445,67.5,6.9,4541,26,17,89.5,227,34.4,44,9,81T,44,298,2013
Redskins  Redskins,547,364,66.5,8.2,4461,18,18,88.8,186,34.0,57,20,81T,58,414,2014
Buccaneers  Buccaneers,531,301,56.7,6.8,3623,21,20,75.2,162,30.5,51,9,56T,52,326,2014
Seahawks  Seahawks,454,287,63.2,7.7,3492,20,7,95.1,160,35.2,54,8,80T,42,242,2014
49ers  49ers,487,292,60.0,7.0,3407,20,10,86.3,165,33.9,49,5,80T,52,344,2014
Chargers  Chargers,574,380,66.2,7.5,4296,31,18,93.4,214,37.3,57,9,59,37,198,2014
Steelers  Steelers,612,411,67.2,8.2,4997,33,10,103.2,243,39.7,56,15,94T,33,172,2014
Cardinals  Cardinals,568,320,56.3,7.0,3990,21,12,81.8,191,33.6,58,11,81T,28,182,2014
Eagles  Eagles,621,384,61.8,7.4,4581,27,21,84.8,218,35.1,63,13,72,32,225,2014
Jets  Jets,498,287,57.6,6.4,3206,16,15,75.1,154,30.9,40,9,74T,47,260,2014
Giants  Giants,607,383,63.1,7.4,4470,30,14,92.2,218,35.9,53,10,80T,30,198,2014
Saints  Saints,659,456,69.2,7.5,4952,33,17,97.0,258,39.2,52,10,69T,30,188,2014
Patriots  Patriots,609,392,64.4,7.0,4291,34,9,97.5,228,37.4,46,8,69T,26,170,2014
Vikings  Vikings,517,322,62.3,6.9,3566,17,18,79.2,171,33.1,43,7,87T,51,322,2014
Dolphins  Dolphins,595,394,66.2,6.8,4066,27,12,92.5,226,38.0,41,4,50,46,337,2014
Raiders  Raiders,629,365,58.0,5.5,3456,22,16,74.4,173,27.5,30,7,77T,28,181,2014
Rams  Rams,515,327,63.5,7.2,3695,20,16,84.9,189,36.7,43,7,63T,47,295,2014
Chiefs  Chiefs,493,320,64.9,7.0,3428,18,6,92.2,184,37.3,43,3,70T,49,246,2014
Jaguars  Jaguars,557,325,58.3,6.2,3451,15,18,72.0,154,27.6,43,9,63T,71,450,2014
Colts  Colts,661,410,62.0,7.7,5062,42,16,96.8,251,38.0,78,15,80,29,168,2014
Texans  Texans,485,295,60.8,7.1,3460,22,13,86.4,171,35.3,49,9,76T,26,108,2014
Titans  Titans,513,299,58.3,7.3,3738,20,16,81.0,159,31.0,50,8,80T,50,326,2014
Packers  Packers,536,349,65.1,8.3,4447,38,6,109.9,222,41.4,59,15,80T,30,186,2014
Lions  Lions,604,365,60.4,7.1,4284,22,12,85.9,210,34.8,54,11,73T,45,254,2014
Broncos  Broncos,607,399,65.7,7.9,4779,40,15,101.3,227,37.4,67,11,86T,17,118,2014
Cowboys  Cowboys,476,328,68.9,8.4,4008,37,11,110.9,205,43.1,54,12,68T,30,224,2014
Browns  Browns,502,274,54.6,7.3,3678,12,16,72.8,179,35.7,56,11,81T,31,213,2014
Bengals  Bengals,503,323,64.2,7.1,3551,20,17,84.2,164,32.6,35,8,81T,23,130,2014
Bears  Bears,609,396,65.0,6.6,4035,30,19,87.3,194,31.9,41,8,74,41,243,2014
Panthers  Panthers,545,327,60.0,7.0,3828,23,12,86.2,199,36.5,43,4,51,42,317,2014
Bills  Bills,579,363,62.7,6.7,3856,23,13,86.0,186,32.1,52,8,84,39,242,2014
Ravens  Ravens,554,344,62.1,7.2,3986,27,12,91.0,194,35.0,50,7,80T,19,167,2014
Falcons  Falcons,632,418,66.1,7.5,4758,28,15,93.4,233,36.9,61,9,79,31,205,2014
Redskins  Redskins,555,386,69.5,7.7,4294,30,11,102.0,208,37.5,52,9,78T,27,199,2015
Buccaneers  Buccaneers,535,312,58.3,7.6,4042,22,15,84.2,201,37.6,57,9,68,27,190,2015
Seahawks  Seahawks,489,333,68.1,8.3,4061,34,8,109.8,190,38.9,60,9,80T,46,271,2015
49ers  49ers,526,322,61.2,6.9,3646,16,12,82.6,154,29.3,46,12,76T,53,330,2015
Chargers  Chargers,667,442,66.3,7.3,4855,30,13,94.5,230,34.5,53,8,80T,40,264,2015
Steelers  Steelers,590,391,66.3,8.2,4822,26,21,91.2,207,35.1,61,21,88T,33,219,2015
Cardinals  Cardinals,562,353,62.8,8.5,4775,35,13,100.9,237,42.2,66,15,68,27,159,2015
Eagles  Eagles,623,405,65.0,7.0,4341,23,18,85.6,193,31.0,53,14,78T,37,254,2015
