Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,Year
Saints  Saints,444,2070,4.7,23,17,5,74T,111,25.0,5,2017
Patriots  Patriots,448,1889,4.2,16,10,1,44,107,23.9,4,2017
Vikings  Vikings,501,1957,3.9,15,15,2,58T,100,20.0,4,2017
Dolphins  Dolphins,360,1388,3.9,4,10,4,69,66,18.3,5,2017
Raiders  Raiders,370,1554,4.2,13,10,4,52T,78,21.1,8,2017
Rams  Rams,454,1953,4.3,17,12,1,57T,97,21.4,8,2017
Chiefs  Chiefs,405,1903,4.7,12,15,4,70,95,23.5,3,2017
Jaguars  Jaguars,527,2262,4.3,18,13,5,90T,101,19.2,9,2017
Colts  Colts,451,1661,3.7,11,8,0,35,94,20.8,7,2017
Texans  Texans,448,1842,4.1,8,6,2,49T,86,19.2,4,2017
Titans  Titans,443,1833,4.1,18,12,3,75T,97,21.9,4,2017
Packers  Packers,386,1724,4.5,13,11,1,46T,99,25.6,4,2017
Lions  Lions,363,1221,3.4,10,7,0,34,58,16.0,6,2017
Broncos  Broncos,457,1852,4.1,8,8,1,40,92,20.1,5,2017
Cowboys  Cowboys,480,2170,4.5,18,12,2,70,127,26.5,1,2017
Browns  Browns,384,1714,4.5,11,7,1,59,97,25.3,5,2017
Bengals  Bengals,377,1366,3.6,6,8,0,25,72,19.1,4,2017
Bears  Bears,422,1788,4.2,13,10,5,53,93,22.0,10,2017
Panthers  Panthers,490,2102,4.3,15,10,5,69,121,24.7,10,2017
Bills  Bills,487,2017,4.1,12,17,1,48T,105,21.6,8,2017
Ravens  Ravens,460,1856,4.0,14,8,1,50,111,24.1,5,2017
Falcons  Falcons,430,1847,4.3,12,11,2,52,101,23.5,9,2017
Redskins  Redskins,414,1774,4.3,12,7,3,90T,96,23.2,6,2018
Buccaneers  Buccaneers,389,1523,3.9,11,5,0,28,80,20.6,5,2018
Seahawks  Seahawks,534,2560,4.8,15,17,2,61,133,24.9,6,2018
49ers  49ers,423,1902,4.5,7,15,3,66T,98,23.2,13,2018
Chargers  Chargers,399,1873,4.7,16,16,1,41,100,25.1,2,2018
Steelers  Steelers,345,1445,4.2,16,10,0,30,88,25.5,4,2018
Cardinals  Cardinals,355,1342,3.8,9,6,1,53,76,21.4,6,2018
Eagles  Eagles,398,1570,3.9,12,7,0,32,94,23.6,5,2018
Jets  Jets,410,1622,4.0,11,11,3,77T,84,20.5,9,2018
Giants  Giants,354,1650,4.7,13,17,7,78T,71,20.1,0,2018
Saints  Saints,471,2025,4.3,26,9,1,49T,134,28.5,7,2018
Patriots  Patriots,478,2037,4.3,18,12,0,34T,131,27.4,2,2018
Vikings  Vikings,357,1493,4.2,9,13,1,70,66,18.5,6,2018
Dolphins  Dolphins,371,1738,4.7,7,12,3,75T,75,20.2,7,2018
Raiders  Raiders,387,1628,4.2,9,8,2,52,86,22.2,8,2018
Rams  Rams,459,2231,4.9,23,14,2,56,134,29.2,2,2018
Chiefs  Chiefs,387,1855,4.8,16,19,1,45,108,27.9,4,2018
Jaguars  Jaguars,416,1723,4.1,7,9,2,43,92,22.1,5,2018
Colts  Colts,408,1718,4.2,13,9,2,53,96,23.5,5,2018
Texans  Texans,472,2021,4.3,12,8,2,97T,94,19.9,4,2018
Titans  Titans,454,2023,4.5,15,10,2,99T,106,23.3,4,2018
Packers  Packers,333,1667,5.0,14,10,1,67,98,29.4,4,2018
Lions  Lions,404,1660,4.1,11,10,1,71,91,22.5,3,2018
Broncos  Broncos,393,1907,4.9,18,12,3,65T,107,27.2,4,2018
Cowboys  Cowboys,439,1963,4.5,13,12,1,41,113,25.7,10,2018
Browns  Browns,411,1893,4.6,15,18,5,92T,93,22.6,6,2018
Bengals  Bengals,359,1682,4.7,13,16,3,51,92,25.6,2,2018
Bears  Bears,468,1938,4.1,16,17,1,42,108,23.1,9,2018
Panthers  Panthers,416,2136,5.1,17,15,3,59,117,28.1,7,2018
Bills  Bills,468,1984,4.2,15,15,1,45,108,23.1,7,2018
Ravens  Ravens,547,2441,4.5,19,14,1,43,153,28.0,16,2018
Falcons  Falcons,351,1573,4.5,11,14,3,65,84,23.9,4,2018
Redskins  Redskins,356,1583,4.4,9,11,2,65T,74,20.8,7,2019
Buccaneers  Buccaneers,409,1521,3.7,15,10,1,49,81,19.8,6,2019
Seahawks  Seahawks,481,2200,4.6,15,14,2,59,121,25.2,11,2019
49ers  49ers,498,2305,4.6,23,16,4,83T,110,22.1,8,2019
Chargers  Chargers,366,1453,4.0,12,9,1,40,90,24.6,7,2019
Steelers  Steelers,395,1447,3.7,7,9,1,45,75,19.0,7,2019
Cardinals  Cardinals,396,1990,5.0,18,16,1,80T,109,27.5,3,2019
Eagles  Eagles,454,1939,4.3,16,7,2,65T,104,22.9,9,2019
Jets  Jets,383,1257,3.3,6,2,0,24,61,15.9,5,2019
Giants  Giants,362,1685,4.7,11,13,3,68T,89,24.6,9,2019
Saints  Saints,405,1738,4.3,12,11,1,40T,97,24.0,3,2019
