Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys,Year
49ers  49ers,211,77,11,7,148,60.7,115,22.8,961,2013
Chargers  Chargers,206,101,6,5,230,60.8,104,21.4,1060,2013
Steelers  Steelers,216,82,15,9,207,54.9,81,20.6,1023,2013
Cardinals  Cardinals,210,74,9,5,205,56.5,84,19.9,1037,2013
Eagles  Eagles,213,83,14,7,197,63.5,133,26.6,1054,2013
Jets  Jets,231,90,8,1,154,57.9,105,21.3,1020,2013
Giants  Giants,211,69,12,6,176,54.2,77,20.2,988,2013
Saints  Saints,221,97,19,9,244,54.7,87,22.3,1079,2013
Patriots  Patriots,221,83,15,7,225,59.2,110,23.4,1138,2013
Vikings  Vikings,214,78,19,10,173,53.2,106,25.1,1013,2013
Dolphins  Dolphins,217,76,12,3,205,57.4,61,17.5,1001,2013
Raiders  Raiders,223,78,12,7,168,56.4,90,20.6,1000,2013
Rams  Rams,212,73,18,6,165,54.8,82,19.2,968,2013
Chiefs  Chiefs,213,74,11,4,179,53.8,110,24.9,1029,2013
Jaguars  Jaguars,225,70,30,13,176,50.4,71,18.8,1020,2013
Colts  Colts,213,80,10,3,191,54.6,88,21.5,1023,2013
Texans  Texans,231,83,17,6,198,53.4,90,21.7,1089,2013
Titans  Titans,227,94,17,11,172,52.4,103,22.3,1032,2013
Packers  Packers,216,89,13,9,201,54.9,119,25.9,1074,2013
Lions  Lions,221,95,14,5,221,59.6,106,23.8,1102,2013
Broncos  Broncos,205,95,9,8,293,63.6,107,23.2,1156,2013
Cowboys  Cowboys,180,63,6,4,213,56.8,80,23.8,957,2013
Browns  Browns,237,83,31,14,200,52.8,77,22.1,1078,2013
Bengals  Bengals,225,92,21,12,205,56.3,101,21.0,1097,2013
Bears  Bears,197,83,13,8,215,57.6,102,25.2,1013,2013
Panthers  Panthers,208,91,13,10,169,57.9,122,25.3,999,2013
Bills  Bills,244,83,14,4,149,49.8,113,20.7,1116,2013
Ravens  Ravens,253,92,16,6,189,52.1,68,16.1,1090,2013
Falcons  Falcons,207,89,14,6,227,51.0,64,19.9,1024,2013
Redskins  Redskins,197,62,16,4,186,51.1,88,21.9,1006,2014
Buccaneers  Buccaneers,203,76,12,4,162,53.8,72,20.4,936,2014
Seahawks  Seahawks,212,90,11,3,160,55.7,144,27.4,1021,2014
49ers  49ers,213,86,18,10,165,56.5,104,22.1,1009,2014
Chargers  Chargers,215,97,11,5,214,56.3,75,18.8,1009,2014
Steelers  Steelers,208,93,10,5,243,59.1,98,23.2,1068,2014
Cardinals  Cardinals,224,90,4,3,191,59.7,67,16.9,993,2014
Eagles  Eagles,237,103,11,7,218,56.8,109,23.0,1127,2014
Jets  Jets,234,91,16,9,154,53.7,112,22.1,1052,2014
Giants  Giants,235,101,16,5,218,56.9,83,18.5,1086,2014
Saints  Saints,203,98,15,8,258,56.6,101,24.9,1095,2014
Patriots  Patriots,221,98,13,7,228,58.2,96,21.9,1073,2014
Vikings  Vikings,211,82,12,6,171,53.1,90,21.8,981,2014
Dolphins  Dolphins,200,80,19,7,226,57.4,99,24.8,1040,2014
Raiders  Raiders,236,80,15,9,173,47.4,56,16.6,994,2014
Rams  Rams,192,68,10,4,189,57.8,79,20.0,957,2014
Chiefs  Chiefs,201,80,12,5,184,57.5,92,21.9,962,2014
Jaguars  Jaguars,216,69,19,7,154,47.4,86,23.9,988,2014
Colts  Colts,217,89,15,6,251,61.2,80,19.3,1105,2014
Texans  Texans,235,91,17,10,171,58.0,108,19.6,1062,2014
Titans  Titans,196,59,17,6,159,53.2,75,21.1,919,2014
Packers  Packers,197,93,10,4,222,63.6,104,23.9,1001,2014
Lions  Lions,223,86,20,10,210,57.5,72,18.2,1045,2014
Broncos  Broncos,213,94,13,6,227,56.9,98,22.1,1067,2014
Cowboys  Cowboys,201,95,6,3,205,62.5,106,20.9,1014,2014
Browns  Browns,207,61,14,5,179,65.3,88,18.4,1010,2014
Bengals  Bengals,211,84,13,7,164,50.8,122,24.8,1018,2014
Bears  Bears,207,78,28,13,194,49.0,91,25.6,1005,2014
Panthers  Panthers,222,93,10,6,199,60.9,117,24.7,1060,2014
Bills  Bills,229,84,14,6,186,51.2,65,16.2,1020,2014
Ravens  Ravens,205,84,18,9,194,56.4,113,25.2,1021,2014
Falcons  Falcons,210,93,16,8,233,55.7,75,20.2,1035,2014
Redskins  Redskins,216,94,12,7,208,53.9,81,18.9,1011,2015
Buccaneers  Buccaneers,202,84,13,7,201,64.4,99,21.8,1017,2015
Seahawks  Seahawks,213,99,9,8,190,57.1,128,25.6,1035,2015
49ers  49ers,213,65,19,9,154,47.8,83,21.3,969,2015
Chargers  Chargers,231,97,15,5,230,52.0,79,20.1,1100,2015
Steelers  Steelers,193,75,12,4,207,52.9,91,23.5,1011,2015
Cardinals  Cardinals,198,93,9,4,237,67.1,92,20.4,1041,2015
Eagles  Eagles,230,91,16,8,193,47.7,110,24.9,1102,2015
Jets  Jets,229,93,14,6,210,58.0,99,22.1,1074,2015
Giants  Giants,217,82,16,9,208,53.1,77,19.1,1053,2015
Saints  Saints,218,104,16,10,247,53.7,98,24.7,1096,2015
Patriots  Patriots,215,88,15,9,229,56.7,87,22.7,1050,2015
Vikings  Vikings,199,76,11,5,153,52.0,113,23.8,973,2015
Dolphins  Dolphins,205,63,22,8,194,53.2,72,20.9,977,2015
Raiders  Raiders,220,86,13,5,193,51.7,74,20.0,1008,2015
Rams  Rams,201,52,13,4,126,46.2,92,21.4,920,2015
Chiefs  Chiefs,199,76,9,6,155,50.0,116,26.6,955,2015
Jaguars  Jaguars,205,72,15,8,215,60.6,69,19.5,1012,2015
Colts  Colts,235,94,13,7,195,54.9,77,19.4,1052,2015
Texans  Texans,249,96,19,6,210,58.7,90,19.1,1127,2015
Titans  Titans,201,64,15,7,195,57.0,66,17.8,976,2015
Packers  Packers,208,70,21,11,173,49.7,100,22.9,1056,2015
Lions  Lions,203,75,14,7,236,56.2,71,20.1,1030,2015
Broncos  Broncos,224,79,14,7,201,54.6,85,20.7,1056,2015
Cowboys  Cowboys,191,66,16,8,175,52.4,94,23.0,969,2015
Browns  Browns,227,95,24,10,192,51.8,81,21.3,1042,2015
Bengals  Bengals,201,81,12,7,191,57.2,99,21.2,1004,2015
Bears  Bears,219,93,10,6,177,53.0,108,23.1,1025,2015
Panthers  Panthers,203,86,10,6,197,65.7,136,25.9,1060,2015
Bills  Bills,227,86,16,7,155,52.5,122,24.0,1016,2015
Ravens  Ravens,226,85,24,12,211,49.5,89,23.2,1083,2015
Falcons  Falcons,227,107,19,10,230,56.1,95,22.6,1073,2015
Redskins  Redskins,199,90,14,7,226,55.5,89,23.5,1009,2016
Buccaneers  Buccaneers,214,94,9,4,220,62.0,80,17.7,1066,2016
Seahawks  Seahawks,207,79,11,4,203,55.2,85,21.1,1012,2016
49ers  49ers,222,78,19,10,152,53.0,116,25.3,996,2016
Chargers  Chargers,200,85,12,6,214,61.3,90,22.6,1014,2016
Steelers  Steelers,202,83,16,9,210,55.1,97,23.7,1026,2016
Cardinals  Cardinals,214,87,10,5,229,59.8,97,24.3,1086,2016
Eagles  Eagles,224,85,27,13,192,50.5,114,26.0,1080,2016
Jets  Jets,210,76,19,8,166,53.4,97,23.2,1003,2016
Giants  Giants,219,78,19,9,190,50.4,73,18.3,1018,2016
Saints  Saints,220,107,15,13,265,56.1,105,26.0,1105,2016
Patriots  Patriots,227,104,12,8,203,55.2,109,22.6,1056,2016
Vikings  Vikings,213,81,18,8,209,50.5,66,17.4,1006,2016
Dolphins  Dolphins,188,69,4,0,167,52.8,90,22.2,912,2016
Raiders  Raiders,218,83,13,6,198,52.2,98,22.6,1048,2016
Rams  Rams,213,67,20,8,151,48.4,68,18.1,960,2016
Chiefs  Chiefs,213,81,14,10,197,54.0,86,20.9,990,2016
